,logFC,logCPM,F,PValue,FDR,gene_symbol,cell_type
TNFRSF14,-1.8194382290937288,6.258355382457649,40.53222374861452,9.366791550496469e-06,0.0010530544440103605,TNFRSF14,NK_cells
SYTL3,-1.5812738708138219,5.523077314180051,40.41188382289712,9.531243997324285e-06,0.001060827456902193,SYTL3,NK_cells
CARD19,1.5195038874413465,5.353680323304659,40.340247534110716,9.630682082804667e-06,0.0010612820948674845,CARD19,NK_cells
CARD8,-1.435469106549224,5.86202700364344,40.00186602707238,1.011645788329765e-05,0.0011038840807951259,CARD8,NK_cells
WIPF1,-0.9133630632661139,7.271064240351171,39.74577178436403,1.0502466571547079e-05,0.001134878183896301,WIPF1,NK_cells
TRAF3IP3,-1.174208329829938,7.663924047076413,39.60472650990377,1.0722128335581504e-05,0.0011391343925520618,TRAF3IP3,NK_cells
CD160,-2.0595299123637454,4.950392740104701,39.58924599741487,1.0746550873132658e-05,0.0011391343925520618,CD160,NK_cells
STAT2,-1.5296989423574656,5.147241399654508,39.49209531543581,1.090125633519479e-05,0.001144631915195453,STAT2,NK_cells
OAS3,-3.5313634449697178,4.2823386158967365,38.831838977377295,1.2021601052690751e-05,0.0012494871104594503,OAS3,NK_cells
BEX2,1.7096464232350386,6.168705525518907,38.774752631139314,1.2124403228177954e-05,0.0012494871104594503,BEX2,NK_cells
PNISR,-0.8934369361235381,8.091934031413793,38.66375925901737,1.2327128045454228e-05,0.0012587241756505097,PNISR,NK_cells
DTX3L,-1.6809421832839821,5.5547919587663825,38.01959314209678,1.3581779428196653e-05,0.0013742291366893524,DTX3L,NK_cells
STRBP,1.9315330940750894,4.415511208563867,37.72889978205836,1.4194576602935635e-05,0.0014232940323484111,STRBP,NK_cells
MAD2L1,1.786174347080406,4.562805568192699,37.63957456769071,1.438908680113149e-05,0.001429915500862442,MAD2L1,NK_cells
DDX5,-1.111233682102698,9.418803617710996,37.512787972339666,1.4670345542633334e-05,0.001444964122916009,DDX5,NK_cells
GOLPH3,-1.5451981971513054,4.824924697136792,37.18768168976791,1.5420272461346753e-05,0.0014976317964025814,GOLPH3,NK_cells
COX7A2L,0.8039739444258934,7.681420266881171,37.164999733270534,1.5474182981697832e-05,0.0014976317964025814,COX7A2L,NK_cells
MAML3,3.3537206651752594,2.531319828625813,36.78470697837126,1.6410427784097642e-05,0.001545270925845623,MAML3,NK_cells
GALE,2.2782979082627293,3.200475409518272,36.76361649298192,1.6464187908351135e-05,0.001545270925845623,GALE,NK_cells
FAM27C,3.4555953437172966,2.0315121024700473,36.704782869702456,1.6615207380522127e-05,0.001545270925845623,FAM27C,NK_cells
FKBP1A,1.0561023499752917,6.590738127423498,36.689459925166425,1.6654795306576174e-05,0.001545270925845623,FKBP1A,NK_cells
IFIT5,-1.9805919780927905,5.174305698830949,36.68721545330067,1.66606029740768e-05,0.001545270925845623,IFIT5,NK_cells
ARHGAP9,-1.7161476161436062,5.0718032378097115,36.34121052747366,1.7583799499219955e-05,0.001617418912614199,ARHGAP9,NK_cells
ITGAL,-1.3584555612889628,6.103691740566519,36.152178385745145,1.811241684698526e-05,0.0016523868812044749,ITGAL,NK_cells
SHISA5,-1.210765750786667,5.831129410988928,35.90724090506615,1.8824187045692108e-05,0.0016763623664675863,SHISA5,NK_cells
ERH,0.727926196418752,7.724051887235006,35.87638002702667,1.8916080135305025e-05,0.0016763623664675863,ERH,NK_cells
OASL,-2.6809052094981554,5.15301655449861,35.86600989286824,1.894707214066267e-05,0.0016763623664675863,OASL,NK_cells
REXO2,0.8714056811283787,6.367212506392844,35.85578463563598,1.897768716755758e-05,0.0016763623664675863,REXO2,NK_cells
CDC37,0.9409727126912147,7.102538480350731,35.65212195392646,1.9599221737032307e-05,0.001705433204787995,CDC37,NK_cells
POLE4,-1.907105395934926,5.443112187209713,35.647610137663484,1.9613247997561848e-05,0.001705433204787995,POLE4,NK_cells
FUOM,1.3225613184676244,4.272904116887707,35.47381709016024,2.0162234854488858e-05,0.001739578867677992,FUOM,NK_cells
RARRES3,-0.8191060092549916,8.434499267490223,35.376117693774745,2.0478439323939867e-05,0.0017532694590419286,RARRES3,NK_cells
PRDX6,0.8204106256129615,7.155741646801495,35.14291087139309,2.1256039820200727e-05,0.0018059520854872833,PRDX6,NK_cells
PHF11,-1.3743418619193868,6.471720899865598,35.0634149260864,2.1528666513663656e-05,0.0018152580174020945,PHF11,NK_cells
FBXO6,-2.423511714378588,3.7780294470978606,34.93787125125585,2.1967268868450136e-05,0.0018383135526755642,FBXO6,NK_cells
CLK1,-1.0565126115522177,6.6452856508981455,34.86569711195951,2.222396885157973e-05,0.0018459162187916597,CLK1,NK_cells
MRPL13,1.146333218705128,5.7850478757759864,34.799317424687445,2.246304525751531e-05,0.0018519532867862622,MRPL13,NK_cells
RTRAF,0.7977926091927682,7.569201690574291,34.66912980945751,2.2940394053591512e-05,0.0018684829737994817,RTRAF,NK_cells
GZMM,-1.5581226684500311,7.0022348149780305,34.65327708530356,2.29992962633e-05,0.0018684829737994817,GZMM,NK_cells
P4HA1,-1.9021917806216468,5.338797411891982,34.40765143158684,2.39340538224781e-05,0.0019303334713346469,P4HA1,NK_cells
COQ4,1.2578609902475961,5.108018452188835,34.20754828319808,2.4727258860119204e-05,0.00197475139309521,COQ4,NK_cells
EVL,-0.8848055776484703,7.741448372114186,34.16888586572756,2.4883905077813018e-05,0.00197475139309521,EVL,NK_cells
HLA-B,-1.1506920875381799,11.574156173883795,34.13623481739788,2.501706616589619e-05,0.00197475139309521,HLA-B,NK_cells
NDUFB3,0.7653041324050074,7.319868112489741,34.01048291248209,2.5537471771272496e-05,0.0020016342310863583,NDUFB3,NK_cells
TUBA4A,1.1034288480617658,7.466873112329953,33.915023457988,2.5940661095012357e-05,0.002005249263880543,TUBA4A,NK_cells
IKZF3,-1.3600958951834992,6.528776231269976,33.91425734165081,2.5943925786055543e-05,0.002005249263880543,IKZF3,NK_cells
VAT1,1.8150204521485127,4.1527180212171855,33.689102989638975,2.6923751740383473e-05,0.0020666300473825383,VAT1,NK_cells
WAS,-1.0769278167146688,6.0122986946439765,33.479169831444715,2.78750227041924e-05,0.0021249931691620645,WAS,NK_cells
DGCR6L,0.903618423536069,5.9046672819756845,33.38669301124686,2.8306028306407334e-05,0.002139826087483583,DGCR6L,NK_cells
MIS18A,1.4654781487162625,4.106908230269584,33.35528569224285,2.8454111495738564e-05,0.002139826087483583,MIS18A,NK_cells
CBY1,1.8643686960532344,3.8431654957324146,33.203018206124575,2.9184523283677556e-05,0.0021800251285055785,CBY1,NK_cells
NEDD8,0.6676009181057043,8.10649449117303,32.88943495850847,3.0756254710852706e-05,0.0022693079802461207,NEDD8,NK_cells
HELZ2,-2.5355897844811475,4.293758798719129,32.88337434492968,3.078755660531575e-05,0.0022693079802461207,HELZ2,NK_cells
TRGC1,-1.5791047023760505,5.321108812092946,32.63979995752159,3.207577465078594e-05,0.0023343405259787925,TRGC1,NK_cells
C5ORF56,-1.2982319478717421,6.397037882335074,32.59238713383567,3.233352982583349e-05,0.0023343405259787925,C5ORF56,NK_cells
OTUB1,-1.0121045080356863,5.575899894967222,32.55929633627096,3.251480698386088e-05,0.0023343405259787925,OTUB1,NK_cells
KAT6B,-1.4191030563861127,5.561842185220047,32.554615667322636,3.254054079380252e-05,0.0023343405259787925,KAT6B,NK_cells
HCST,-1.0249836716661418,8.720543161634605,32.522357192165614,3.271851950158955e-05,0.0023343405259787925,HCST,NK_cells
PFDN6,0.9652263632665319,6.049343730908592,32.23121365294603,3.4375396866035825e-05,0.00242751326507343,PFDN6,NK_cells
UBE2L6,-1.1621630552524727,6.5231480440125935,32.216662057286435,3.446065551496872e-05,0.00242751326507343,UBE2L6,NK_cells
VAMP2,-0.8200616434136917,7.8483943353281775,32.08233359058673,3.525904127186082e-05,0.0024681328890302574,VAMP2,NK_cells
TRAPPC6A,0.9026919066355239,6.513638883458293,31.87527614619973,3.6530836366367755e-05,0.002527449078755741,TRAPPC6A,NK_cells
RAB29,-1.169120619902485,5.646655886678847,31.85916153523139,3.663196329494426e-05,0.002527449078755741,RAB29,NK_cells
KIAA1551,-0.9625170229719033,7.745297671805964,31.834447566838907,3.6787668531754714e-05,0.002527449078755741,KIAA1551,NK_cells
PARP12,-1.9225782668122717,4.3687932731839805,31.696543118168808,3.767031170862368e-05,0.002558331855180918,PARP12,NK_cells
PHKG2,1.272299022020374,4.479887262517967,31.66612283007195,3.786820967383183e-05,0.002558331855180918,PHKG2,NK_cells
CASC3,-1.9956090408249274,4.682720977571492,31.657158099385935,3.792675257006752e-05,0.002558331855180918,CASC3,NK_cells
UFD1,1.015354937221196,6.438961501203103,31.565630135276557,3.8530332549792925e-05,0.002568794231879144,UFD1,NK_cells
PCED1B-AS1,-1.196274954866349,7.853650733569544,31.563658432700304,3.854345343430522e-05,0.002568794231879144,PCED1B-AS1,NK_cells
MPC2,0.7061579648069384,6.659859964010302,31.434436990623126,3.94144453530864e-05,0.002598701696524392,MPC2,NK_cells
APEX1,0.9409241209689182,6.780488694285026,31.40747710587085,3.959894563308257e-05,0.002598701696524392,APEX1,NK_cells
PTPN2,-0.8988008516002753,6.135456700079023,31.358267284906606,3.993822754544622e-05,0.002598701696524392,PTPN2,NK_cells
LY6E,-1.1484229450720929,8.008053147772735,31.34135550705282,4.0055582505978743e-05,0.002598701696524392,LY6E,NK_cells
FGFBP2,-2.708105923564493,7.819839355443793,31.326407923656397,4.015963088968513e-05,0.002598701696524392,FGFBP2,NK_cells
PSMB8,-0.8666707707632813,7.825861807708489,31.278191753129338,4.0497338590322225e-05,0.0026054068121981874,PSMB8,NK_cells
CCT4,0.9286179795963176,6.959545573576956,31.244762752798042,4.07333541169892e-05,0.0026055300650694815,CCT4,NK_cells
NDUFB2,-0.955476365797661,7.538316418606959,31.0903021122032,4.184418950348724e-05,0.0026612904524217886,NDUFB2,NK_cells
RPL7A,0.8296155917689383,12.118114367021198,30.987385973904704,4.260326804083226e-05,0.002692109755362155,RPL7A,NK_cells
AKAP13,-1.2299441254100463,7.264670875170686,30.95937743451969,4.28125271068375e-05,0.002692109755362155,AKAP13,NK_cells
BTN3A3,-1.4758758835141863,5.016613909085689,30.801330265349154,4.401525986218661e-05,0.0027521901250906573,BTN3A3,NK_cells
GPN3,1.0748698358584077,5.30280370509376,30.606766323468698,4.554847949016906e-05,0.0028321484733272715,GPN3,NK_cells
LTA4H,1.0233305436691216,5.590841487190716,30.45451803971547,4.679025004464185e-05,0.0028931971277603545,LTA4H,NK_cells
PPCS,-0.8989750445325313,6.018926307121473,30.361054306931354,4.757143464344524e-05,0.0029159362599228567,PPCS,NK_cells
NOSIP,0.8408120591398079,7.10846899020871,30.34796841426242,4.768197657735489e-05,0.0029159362599228567,NOSIP,NK_cells
SRSF5,-0.9186499041537027,8.827718951358236,30.279883663157463,4.8261806274577896e-05,0.0029352672340767867,SRSF5,NK_cells
IL32,-2.0332433073071177,9.629442067888494,30.217809965420688,4.879737350937887e-05,0.002951710691083624,IL32,NK_cells
TRBC1,-1.082018418257785,8.746400512887156,30.105615631971684,4.978245176059498e-05,0.0029950199356509307,TRBC1,NK_cells
AC008038.1,1.8554497886184913,6.2923844847343124,30.012690797007586,5.061532128368662e-05,0.003026747195273157,AC008038.1,NK_cells
FAM217B,-1.8168576486085737,4.906407939080785,29.986410754592406,5.085370399964783e-05,0.003026747195273157,FAM217B,NK_cells
RRP1B,0.976023666669159,5.635767224456153,29.944069079332888,5.124044484133598e-05,0.0030335433568301567,RRP1B,NK_cells
SPAG7,-1.5579449782840147,5.683309814297287,29.558363556023515,5.492012934897711e-05,0.0032341853949953187,SPAG7,NK_cells
MAD1L1,-1.57344949112055,5.224168148504116,29.514857260471295,5.53535506952158e-05,0.0032425527328302727,MAD1L1,NK_cells
H2AFZ,0.7107427335574826,8.443668017608926,29.44491982812386,5.6058386433644914e-05,0.0032587737963425617,H2AFZ,NK_cells
FH,1.4209351442055236,4.440562378913652,29.428981150590754,5.6220429042083654e-05,0.0032587737963425617,FH,NK_cells
RSRP1,-0.7629121135187368,7.255796640676513,29.38607904355258,5.665922693103749e-05,0.0032587737963425617,RSRP1,NK_cells
CSPP1,1.3728834415449798,4.415227298085537,29.372236641632302,5.680162771702219e-05,0.0032587737963425617,CSPP1,NK_cells
SH3BP5,-1.4210330211399567,5.522700312376962,29.28844392418863,5.76722836535492e-05,0.0032917564977641162,SH3BP5,NK_cells
SELENOW,-0.8125931956962331,7.214679601279628,29.22501339158753,5.8341366633774375e-05,0.0033129561767036163,SELENOW,NK_cells
CYP20A1,-1.370400540902717,5.176871086272203,29.08506554143951,5.9848734578810405e-05,0.0033541106386337145,CYP20A1,NK_cells
BCLAF1,-1.0535462550141657,6.079161652441469,29.052350565882914,6.020740110737277e-05,0.0033541106386337145,BCLAF1,NK_cells
RASGRP1,-1.2808341412149071,6.651032276396772,29.026676366867186,6.049057325744357e-05,0.0033541106386337145,RASGRP1,NK_cells
SRPK1,0.87922188692118,5.7654242031031675,29.0234395954676,6.0526379434566e-05,0.0033541106386337145,SRPK1,NK_cells
N4BP2L2,-0.72909543090633,8.34157709478468,29.019238620636514,6.0572887544058995e-05,0.0033541106386337145,N4BP2L2,NK_cells
APMAP,0.8554866665896006,6.606843454660798,28.977784711272857,6.10339802161132e-05,0.003362911880224455,APMAP,NK_cells
SLC25A5,0.7489249827303762,7.6405398831194615,28.792173860342395,6.314761321121137e-05,0.003462231207097451,SLC25A5,NK_cells
IMPA2,2.99530128411932,2.372179546023465,28.68089442274747,6.445428748496762e-05,0.003516550096606322,IMPA2,NK_cells
ADI1,-2.035706408193496,5.169683251052132,28.48870303370023,6.678343354341786e-05,0.003589212889431473,ADI1,NK_cells
ARL4C,-0.6794791798763118,8.207765919269525,28.48682457226832,6.680666158130048e-05,0.003589212889431473,ARL4C,NK_cells
IFIT2,-2.5510164878179786,5.452327819443544,28.46714184382089,6.705059569446655e-05,0.003589212889431473,IFIT2,NK_cells
PHB2,0.9445121868762072,6.969968868351538,28.465093743052627,6.707603602890803e-05,0.003589212889431473,PHB2,NK_cells
IFT43,1.4890105221317322,4.4675326627035385,28.296544535280017,6.920741911473526e-05,0.003671309185163705,IFT43,NK_cells
