,logFC,logCPM,F,PValue,FDR,gene_symbol,cell_type
RRN3P3,-1.3764547809842527,1.7636418887520833,13.690680739563799,0.0019430469589448351,0.01002601421096709,RRN3P3,T_cells_CD4
MLST8,-1.0228066338075603,2.953737272290121,13.68617542386761,0.001945546541751742,0.0100342599674221,MLST8,T_cells_CD4
ALKBH7,0.5268720195127443,7.327576090914628,13.670981919714565,0.0019540028675833323,0.010066709581292846,ALKBH7,T_cells_CD4
TMEM106B,-0.4092809392196081,5.798420288185757,13.668985566475659,0.001955117075433918,0.010066709581292846,TMEM106B,T_cells_CD4
SSB,0.4184097151800045,7.700980112262057,13.668005828419926,0.001955664151296094,0.010066709581292846,SSB,T_cells_CD4
AP002381.2,-1.3178953439326668,2.024184644150996,13.66661601898564,0.0019564405039696167,0.010066709581292846,AP002381.2,T_cells_CD4
MCAT,0.9620907724623219,2.816250360460289,13.665705957468719,0.0019569490565758164,0.010066709581292846,MCAT,T_cells_CD4
RASGRP3,-1.3294023377105415,1.4781170595825817,13.664418462928174,0.001957668778446802,0.010066709581292846,RASGRP3,T_cells_CD4
AKIP1,0.8031766570528657,4.077529772408515,13.663523095847282,0.001958169473809435,0.010066709581292846,AKIP1,T_cells_CD4
OXCT1,-0.49896723742425464,4.179094968278783,13.661283480012345,0.00195942251670199,0.010068500743717982,OXCT1,T_cells_CD4
IFT52,0.7729124586196369,3.788105278509932,13.658078855603778,0.001961217050157145,0.010073071420511778,IFT52,T_cells_CD4
MRPL55,0.4223865420444761,5.6316189031919475,13.650577841718174,0.0019654247599990285,0.010090026558482098,MRPL55,T_cells_CD4
PPP1R7,0.42552336434126814,6.327578764086591,13.647793817314371,0.00196698906225618,0.010093401688755778,PPP1R7,T_cells_CD4
SMC1A,-0.9234021514890827,5.435406035111639,13.641400494548876,0.0019705867099001763,0.010107202802391227,SMC1A,T_cells_CD4
PLEKHA8P1,-1.0821966503105378,2.0066479436330518,14.39660903791903,0.001974310111575545,0.010121635901352288,PLEKHA8P1,T_cells_CD4
PRDM2,-0.45902994485554716,6.129038917277694,13.624016325048219,0.0019804068189609642,0.010148217262907704,PRDM2,T_cells_CD4
PRKAG2,-0.48203694652760054,5.255852000326181,13.620082586956297,0.001982636613916026,0.010154968022496718,PRKAG2,T_cells_CD4
TXN,0.4921035825082107,7.671958072264388,13.610037089377037,0.001988343689073671,0.01017851472207617,TXN,T_cells_CD4
PLP2,-0.727258615964622,6.755720160805127,13.608445600097458,0.001989249554539151,0.01017851472207617,PLP2,T_cells_CD4
TMEM97,1.110523747863453,2.539789014792369,13.60716753032785,0.0019899773616565805,0.01017851472207617,TMEM97,T_cells_CD4
LIMS1,-0.6159267869121756,6.426954645820859,13.605138613864295,0.0019911333632362384,0.010179749349021282,LIMS1,T_cells_CD4
GMEB1,-0.6677864721199614,4.055038785862438,13.602549447404035,0.001992609678023606,0.010182619704500797,GMEB1,T_cells_CD4
LIMK1,0.7098543641423237,2.9141152532213237,13.565476191981418,0.002013884834311179,0.01028661689118101,LIMK1,T_cells_CD4
NAPA-AS1,-1.3745094367143234,1.5870329934639698,13.55457527938447,0.0020201893234151986,0.010314085857619799,NAPA-AS1,T_cells_CD4
LMO7,-0.8335624695108621,3.2632498693091976,13.54850061347899,0.0020237122629789177,0.010325317516909498,LMO7,T_cells_CD4
ATAT1,1.00447218312416,2.1947389016300463,13.547583670456456,0.002024244638085941,0.010325317516909498,ATAT1,T_cells_CD4
COX6A1,0.5004508757539533,8.22606065811833,13.544399491775708,0.002026094596055263,0.010327409284705292,COX6A1,T_cells_CD4
A2M,-2.5198083643531124,3.2332083125285886,13.543684081802667,0.0020265105011497177,0.010327409284705292,A2M,T_cells_CD4
LINC01336,-1.1397533256041368,2.2050257617091655,13.54208488933662,0.0020274405443679784,0.010327420255750846,LINC01336,T_cells_CD4
ATP6V1A,0.6213835561285057,3.8368411215887837,13.538990608520637,0.0020292414583445604,0.010331865247655517,ATP6V1A,T_cells_CD4
MSRB1,0.7213463034417666,3.778477011193799,13.534813497736037,0.002031675465548029,0.010335361733002682,MSRB1,T_cells_CD4
HERC5,-0.647265782972215,6.18199583057194,13.533865307961527,0.002032228436673735,0.010335361733002682,HERC5,T_cells_CD4
HSD17B10,0.6124204777563755,5.642673487002896,13.532934827956746,0.0020327712452433756,0.010335361733002682,HSD17B10,T_cells_CD4
SNHG25,-0.8645717006869469,6.017613785392398,13.531441734383018,0.0020336426051460804,0.010335361733002682,SNHG25,T_cells_CD4
KMT5B,-0.47817145623629814,5.167150693835366,13.526876492590848,0.002036309473575147,0.010344191894519116,KMT5B,T_cells_CD4
TTC22,-1.2937272698933098,1.8665518250841107,13.523867251461592,0.0020380695396675307,0.010348409660811868,TTC22,T_cells_CD4
TGFBR2,-0.46840201212566407,6.0364604949246345,13.518035541988693,0.002041485332682123,0.010361026791040598,TGFBR2,T_cells_CD4
MRPL4,0.5198142524985792,5.3445663690752685,13.502845676735449,0.0020504129025841356,0.01039803556953779,MRPL4,T_cells_CD4
SPATA1,1.0814982651909701,2.0355043601279217,13.502233407112707,0.0020507736779939232,0.01039803556953779,SPATA1,T_cells_CD4
AC020915.3,-0.6406779730999579,4.042001218483373,13.500865335341025,0.0020515800638548957,0.01039803556953779,AC020915.3,T_cells_CD4
CD40LG,-1.067292508067553,4.985109971519473,13.493361398507895,0.0020560095127821814,0.010415742320102723,CD40LG,T_cells_CD4
POLE3,0.43436142269958194,6.272569556769576,13.465347905521009,0.0020726412671069924,0.010495221702866618,POLE3,T_cells_CD4
ACAP3,1.0184998787149997,2.729903574959509,13.456436405323435,0.002077963943401409,0.010516194954453275,ACAP3,T_cells_CD4
NHLRC3,-0.4613104229108146,4.847418357264689,13.45525145443135,0.002078672857124636,0.010516194954453275,NHLRC3,T_cells_CD4
SETD3,0.5496414116446765,5.052168778821032,13.428569122128128,0.002094708622298544,0.010588850868353795,SETD3,T_cells_CD4
LIMA1,0.5640128536143977,4.754013422644959,13.428190669913844,0.00209493707206784,0.010588850868353795,LIMA1,T_cells_CD4
BPGM,0.6546468419841177,4.211580970973254,13.42422738610024,0.002097331171987595,0.010596139784031745,BPGM,T_cells_CD4
APAF1,0.7892812116044335,3.836063934397245,13.418086365515215,0.0021010468936667128,0.010610096155404045,APAF1,T_cells_CD4
SERPINB1,-0.47350038767901226,6.924348588319263,13.414288484254914,0.0021033485891053167,0.010616902402150645,SERPINB1,T_cells_CD4
AP000769.1,0.6643867098717419,4.275574079440103,13.4116945265398,0.002104922289703669,0.01061820261792208,AP000769.1,T_cells_CD4
ZDHHC3,0.6214258718721006,4.484135432644868,13.410719418944616,0.0021055142118377385,0.01061820261792208,ZDHHC3,T_cells_CD4
PLEKHG3,-1.4481614628954742,2.753906673214353,13.408953759398283,0.0021065865041257066,0.010618798818351049,PLEKHG3,T_cells_CD4
PHC3,-0.4022819230473358,5.723638740370302,13.403289463273639,0.0021100306271501145,0.010631344898225793,PHC3,T_cells_CD4
AL109741.1,-0.885778927505109,2.853836949665766,13.384742640704593,0.002121352514523517,0.010679583684591553,AL109741.1,T_cells_CD4
CCAR1,-0.5598255112422478,5.478352742799599,13.384462965856558,0.002121523766992985,0.010679583684591553,CCAR1,T_cells_CD4
KCNK6,-0.8340889924853553,3.707434169981898,13.37811393361911,0.0021254156624331373,0.01069433830148319,KCNK6,T_cells_CD4
GINS2,1.2667164373205604,1.5757731631921525,13.369677880502795,0.002130599385485144,0.010715576665363604,GINS2,T_cells_CD4
LRRFIP2,0.5265213994766812,4.95385370382556,13.365369405959504,0.0021332523423113637,0.010723604047337212,LRRFIP2,T_cells_CD4
PHYH,-0.7165522578977693,3.1599565893356245,13.36395763331359,0.002134122458656956,0.010723604047337212,PHYH,T_cells_CD4
SNHG4,1.1411765949099917,2.3340263663504053,13.360340755863557,0.0021363534777536124,0.010729970310197522,SNHG4,T_cells_CD4
